City,Lat,Lng,MaxTemp,Humidity,Cloudiness,Wind Speed,Country,Date
b'Graham',47.05,-122.29,61,93,90,8.05,US,1602896929
b'Saint Paul Harbor',57.79,-152.41,46.4,65,1,5.82,US,1602896929
b'Sisimiut',66.94,-53.67,41.14,87,100,17.38,GL,1602896929
b'George Town',5.41,100.34,82.4,88,20,3.13,MY,1602896929
b'Mataura',-46.19,168.86,55,60,58,7,NZ,1602896696
b'Tiksi',71.69,128.87,24.96,98,100,8.52,RU,1602896929
b'Jamestown',42.1,-79.24,37.4,59,1,1.7,US,1602896929
b'Barahan',13.01,120.76,83.19,71,76,3.22,PH,1602896929
b'Hermanus',-34.42,19.23,57.99,86,93,4,ZA,1602896698
b'Upernavik',72.79,-56.15,39.22,73,100,5.68,GL,1602896929
b'Tuatapere',-46.13,167.68,55,60,54,7,NZ,1602896707
b'Constitucio\xcc\x81n',-35.33,-72.42,52.52,92,8,3.09,CL,1602896719
b'Takapau',-40.03,176.35,57,86,99,1.01,NZ,1602896929
b'Port Alfred',-33.59,26.89,62.58,84,0,13.35,ZA,1602896930
b'Castro',-24.79,-50.01,53.44,92,29,8.43,BR,1602896930
b'Hasaki',35.73,140.83,55,93,90,9.17,JP,1602896730
b'Husavik',66.04,-17.34,41,86,90,6.93,IS,1602896930
b'Svetlaya',46.54,138.33,50.22,47,0,8.28,RU,1602896930
b'Carballo',43.21,-8.69,52,81,100,8.05,ES,1602896930
b'Dunkirk',51.05,2.37,46,93,38,1.12,FR,1602896930
b'Avarua',-21.21,-159.78,77,65,88,14.99,CK,1602896721
b'Khatanga',71.97,102.5,-1.97,89,0,3.83,RU,1602896697
b'Puga',21.58,-104.82,82.4,51,75,4.16,MX,1602896930
b'Esperance',-33.87,121.9,59,77,40,9.17,AU,1602896930
b'Cape Canaveral',28.41,-80.6,81,83,1,3.36,US,1602896930
b'Tuktoyaktuk',69.45,-133.04,21.2,85,90,23.04,CA,1602896705
b'Inta',66.03,60.17,26.69,98,100,15.37,RU,1602896931
b'Nishihara',26.18,127.76,82,69,40,9.17,JP,1602896931
b'Oshakati',-17.78,15.68,82.4,24,17,5.82,NA,1602896931
b'Ushuaia',-54.8,-68.3,42.8,89,40,25.28,AR,1602896855
